English;German;French;Spanish;Italian;Japanese;Korean;Chinese 1;Chinese 2
Stench;Duftnote;Puanteur;Hedor;Tanfo;あくしゅう;악취;惡臭;恶臭
Drizzle;Niesel;Crachin;Llovizna;Piovischio;あめふらし;잔비;降雨;降雨
Speed Boost;Temposchub;Turbo;Impulso;Acceleratore;かそく;가속;加速;加速
Battle Armor;Kampfpanzer;Armurbaston;Armadura Batalla*;Lottascudo;カブトアーマー;전투 무장;戰鬥盔甲;战斗盔甲
Sturdy;Robustheit;Fermeté;Robustez;Vigore;がんじょう;옹골참;結實;结实
Damp;Feuchtigkeit;Moiteur;Humedad;Umidità;しめりけ;습기;濕氣;湿气
Limber;Flexibilität;Échauffement;Flexibilidad;Scioltezza;じゅうなん;유연;柔軟;柔软
Sand Veil;Sandschleier;Voile Sable;Velo Arena;Sabbiavelo;すながくれ;모래숨기;沙隱;沙隐
Static;Statik;Statik;Elec. Estática*;Statico;せいでんき;정전기;靜電;静电
Volt Absorb;Voltabsorber;Absorb Volt;Absorbe Elec*;Assorbivolt;ちくでん;축전;蓄電;蓄电
Water Absorb;H2O-Absorber;Absorb Eau;Absorbe Agua*;Assorbacqua;ちょすい;저수;儲水;储水
Oblivious;Dösigkeit;Benêt;Despiste;Indifferenza;どんかん;둔감;遲鈍;迟钝
Cloud Nine;Wolke Sieben;Ciel Gris;Aclimatación;Antimeteo;ノーてんき;날씨 부정;無關天氣;无关天气
Compound Eyes;Facettenauge;Œil Composé;Ojo Compuesto*;Insettocchi;ふくがん;복안;複眼;复眼
Insomnia;Insomnia;Insomnia;Insomnio;Insonnia;ふみん;불면;不眠;不眠
Color Change;Farbwechsel;Déguisement;Cambio Color;Cambiacolore;へんしょく;변색;變色;变色
Immunity;Immunität;Vaccin;Inmunidad;Immunità;めんえき;면역;免疫;免疫
Flash Fire;Feuerfänger;Torche;Absorbe Fuego*;Fuocardore;もらいび;타오르는 불꽃;引火;引火
Shield Dust;Puderabwehr;Écran Poudre;Polvo Escudo;Polvoscudo;りんぷん;인분;鱗粉;鳞粉
Own Tempo;Tempomacher;Tempo Perso;Ritmo Propio;Mente Locale;マイペース;마이페이스;我行我素;我行我素
Suction Cups;Saugnapf;Ventouse;Ventosas;Ventose;きゅうばん;흡반;吸盤;吸盘
Intimidate;Bedroher;Intimidation;Intimidación;Prepotenza;いかく;위협;威嚇;威吓
Shadow Tag;Wegsperre;Marque Ombre;Sombra Trampa*;Pedinombra;かげふみ;그림자 밟기;踩影;踩影
Rough Skin;Rauhaut;Peau Dure;Piel Tosca;Cartavetro;さめはだ;까칠한 피부;粗糙皮膚;粗糙皮肤
Wonder Guard;Wunderwache;Garde Mystik;Superguarda;Magidifesa;ふしぎなまもり;불가사의 부적;神奇守護;神奇守护
Levitate;Schwebe;Lévitation;Levitación;Levitazione;ふゆう;부유;飄浮;飘浮
Effect Spore;Sporenwirt;Pose Spore;Efecto Espora*;Spargispora;ほうし;포자;孢子;孢子
Synchronize;Synchro;Synchro;Sincronía;Sincronismo;シンクロ;싱크로;同步;同步
Clear Body;Neutraltorso;Corps Sain;Cuerpo Puro;Corpochiaro;クリアボディ;클리어 바디;恆淨之軀;恒净之躯
Natural Cure;Innere Kraft;Médic Nature;Cura Natural;Alternacura;しぜんかいふく;자연회복;自然回復;自然回复
Lightning Rod;Blitzfänger;Paratonnerre;Pararrayos;Parafulmine;ひらいしん;피뢰침;避雷針;避雷针
Serene Grace;Edelmut;Sérénité;Dicha;Leggiadro;てんのめぐみ;하늘의 은총;天恩;天恩
Swift Swim;Wassertempo;Glissade;Nado Rápido;Nuotovelox;すいすい;쓱쓱;悠游自如;悠游自如
Chlorophyll;Chlorophyll;Chlorophylle*;Clorofila;Clorofilla;ようりょくそ;엽록소;葉綠素;叶绿素
Illuminate;Erleuchtung;Lumiattirance;Iluminación;Risplendi;はっこう;발광;發光;发光
Trace;Fährte;Calque;Rastro;Traccia;トレース;트레이스;複製;复制
Huge Power;Kraftkoloss;Coloforce;Potencia;Macroforza;ちからもち;천하장사;大力士;大力士
Poison Point;Giftdorn;Point Poison;Punto Tóxico;Velenopunto;どくのトゲ;독가시;毒刺;毒刺
Inner Focus;Konzentrator;Attention;Foco Interno;Forza Interiore*;せいしんりょく;정신력;精神力;精神力
Magma Armor;Magmapanzer;Armumagma;Escudo Magma;Magmascudo;マグマのよろい;마그마의 무장;熔岩鎧甲;熔岩铠甲
Water Veil;Aquahülle;Ignifu-Voile;Velo Agua;Idrovelo;みずのベール;수의 베일;水幕;水幕
Magnet Pull;Magnetfalle;Magnépiège;Imán;Magnetismo;じりょく;자력;磁力;磁力
Soundproof;Lärmschutz;Anti-Bruit;Insonorizar;Antisuono;ぼうおん;방음;隔音;隔音
Rain Dish;Regengenuss;Cuvette;Cura Lluvia;Copripioggia;あめうけざら;젖은접시;雨盤;雨盘
Sand Stream;Sandsturm;Sable Volant;Chorro Arena;Sabbiafiume;すなおこし;모래날림;揚沙;扬沙
Pressure;Erzwinger;Pression;Presión;Pressione;プレッシャー;프레셔;壓迫感;压迫感
Thick Fat;Speckschicht;Isograisse;Sebo;Grassospesso;あついしぼう;두꺼운 지방;厚脂肪;厚脂肪
Early Bird;Frühwecker;Matinal;Madrugar;Sveglialampo;はやおき;일찍 기상;早起;早起
Flame Body;Flammkörper;Corps Ardent;Cuerpo Llama;Corpodifuoco;ほのおのからだ;불꽃몸;火焰之軀;火焰之躯
Run Away;Angsthase;Fuite;Fuga;Fugafacile;にげあし;도주;逃跑;逃跑
Keen Eye;Adlerauge;Regard Vif;Vista Lince;Sguardofermo;するどいめ;날카로운 눈;銳利目光;锐利目光
Hyper Cutter;Scherenmacht;Hyper Cutter;Corte Fuerte;Ipertaglio;かいりきバサミ;괴력집게;怪力鉗;怪力钳
Pickup;Mitnahme;Ramassage;Recogida;Raccolta;ものひろい;픽업;撿拾;捡拾
Truant;Schnarchnase;Absentéisme;Ausente;Pigrone;なまけ;게으름;懶惰;懒惰
Hustle;Übereifer;Agitation;Entusiasmo;Tuttafretta;はりきり;의욕;活力;活力
Cute Charm;Charmebolzen;Joli Sourire;Gran Encanto;Incantevole;メロメロボディ;헤롱헤롱 바디;迷人之軀;迷人之躯
Plus;Plus;Plus;Más;Più;プラス;플러스;正電;正电
Minus;Minus;Minus;Menos;Meno;マイナス;마이너스;負電;负电
Forecast;Prognose;Météo;Predicción;Previsioni;てんきや;기분파;陰晴不定;阴晴不定
Sticky Hold;Wertehalter;Glue;Viscosidad;Antifurto;ねんちゃく;점착;黏著;黏着
Shed Skin;Expidermis;Mue;Mudar;Muta;だっぴ;탈피;蛻皮;蜕皮
Guts;Adrenalin;Cran;Agallas;Dentistretti;こんじょう;근성;毅力;毅力
