Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Pound;Normal;Klaps;Écras'Face;Destructor;Botta;はたく;막치기;拍击;拍擊
Karate Chop;Fighting;Karateschlag;Poing Karaté;Golpe Kárate;Colpokarate;からてチョップ;태권당수;空手劈;空手劈
Double Slap;Normal;Duplexhieb;Torgnoles;Doble Bofetón;Doppiasberla;おうふくビンタ;연속뺨치기;连环巴掌;連環巴掌
Comet Punch;Normal;Kometenhieb;Poing Comète;Puño Cometa;Cometapugno;れんぞくパンチ;연속펀치;连续拳;連續拳
Mega Punch;Normal;Megahieb;Ultimapoing;Megapuño;Megapugno;メガトンパンチ;메가톤펀치;百万吨重拳;百萬噸重拳
Pay Day;Normal;Zahltag;Jackpot;Día de Pago;Giornopaga;ネコにこばん;고양이돈받기;聚宝功;聚寶功
Fire Punch;Fire;Feuerschlag;Poing Feu;Puño Fuego;Fuocopugno;ほのおのパンチ;불꽃펀치;火焰拳;火焰拳
Ice Punch;Ice;Eishieb;Poing Glace;Puño Hielo;Gelopugno;れいとうパンチ;냉동펀치;冰冻拳;冰凍拳
Thunder Punch;Electric;Donnerschlag;Poing Éclair;Puño Trueno;Tuonopugno;かみなりパンチ;번개펀치;雷电拳;雷電拳
Scratch;Normal;Kratzer;Griffe;Arañazo;Graffio;ひっかく;할퀴기;抓;抓
Vise Grip;Normal;Klammer;Force Poigne;Agarre;Presa;はさむ;찝기;夹住;夾住
Guillotine;Normal;Guillotine;Guillotine;Guillotina;Ghigliottina;ハサミギロチン;가위자르기;极落钳;斷頭鉗
Razor Wind;Normal;Klingensturm;Coupe-Vent;Viento Cortante;Ventagliente;かまいたち;칼바람;旋风刀;旋風刀
Swords Dance;Normal;Schwerttanz;Danse Lames;Danza Espada;Danzaspada;つるぎのまい;칼춤;剑舞;劍舞
Cut;Normal;Zerschneider;Coupe;Corte;Taglio;いあいぎり;풀베기;居合劈;居合斬
Gust;Flying;Windstoß;Tornade;Tornado;Raffica;かぜおこし;바람일으키기;起风;起風
Wing Attack;Flying;Flügelschlag;Cru-Ailes;Ataque Ala;Attacco d'Ala;つばさでうつ;날개치기;翅膀攻击;翅膀攻擊
Whirlwind;Normal;Wirbelwind;Cyclone;Remolino;Turbine;ふきとばし;날려버리기;吹飞;吹飛
Fly;Flying;Fliegen;Vol;Vuelo;Volo;そらをとぶ;공중날기;飞翔;飛翔
Bind;Normal;Klammergriff;Étreinte;Atadura;Legatutto;しめつける;조이기;绑紧;綁緊
Slam;Normal;Slam;Souplesse;Atizar;Schianto;たたきつける;힘껏치기;摔打;摔打
Vine Whip;Grass;Rankenhieb;Fouet Lianes;Látigo Cepa;Frustata;つるのムチ;덩굴채찍;藤鞭;藤鞭
Stomp;Normal;Stampfer;Écrasement;Pisotón;Pestone;ふみつけ;짓밟기;踩踏;踩踏
Double Kick;Fighting;Doppelkick;Double Pied;Doble Patada;Doppiocalcio;にどげり;두번차기;二连踢;二連踢
Mega Kick;Normal;Megakick;Ultimawashi;Megapatada;Megacalcio;メガトンキック;메가톤킥;百万吨重踢;百萬噸重踢
Jump Kick;Fighting;Sprungkick;Pied Sauté;Patada Salto;Calciosalto;とびげり;점프킥;飞踢;飛踢
Rolling Kick;Fighting;Fegekick;Mawashi Geri;Patada Giro;Calciorullo;まわしげり;돌려차기;回旋踢;迴旋踢
Sand Attack;Ground;Sandwirbel;Jet de Sable;Ataque Arena;Turbosabbia;すなかけ;모래뿌리기;泼沙;潑沙
Headbutt;Normal;Kopfnuss;Coup d'Boule;Golpe Cabeza;Bottintesta;ずつき;박치기;头锤;頭錘
Horn Attack;Normal;Hornattacke;Koud'Korne;Cornada;Incornata;つのでつく;뿔찌르기;角撞;角撞
Fury Attack;Normal;Furienschlag;Furie;Ataque Furia;Furia;みだれづき;마구찌르기;乱击;亂擊
Horn Drill;Normal;Hornbohrer;Empal'Korne;Perforador;Perforcorno;つのドリル;뿔드릴;角钻;角鑽
